@relation D20
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute dim15 real
@attribute dim16 real
@attribute dim17 real
@attribute dim18 real
@attribute dim19 real
@attribute class {100,701,101,201,200,601,501,401,300,301,302,-1}
@data
861.195964152291,556.4486755722656,448.37342231843576,155.70110622700415,653.0330022795562,622.6937815005779,454.6041760498247,753.3887201141036,942.74193698694,456.24813607087236,363.757174469275,919.1654179274939,541.2439261187163,543.1423673133984,53.476359160501644,451.9943063134977,940.4531266575701,145.05270726979148,262.0841582837885,562.3105762808605,100
871.0243860015345,558.3678516664105,450.7592734018732,163.93417658335068,657.1425858716996,897.4492442635918,448.5312601993122,747.3633633859905,938.1262252245858,459.15071416181684,374.86793958831777,929.087106065781,528.6492073176369,835.4134901550477,57.745063909213094,470.20865674626566,938.0980460257856,138.85994906069035,273.84273970801524,640.593571858667,100
869.970386160331,553.1220819521603,457.8345549284829,157.68882185278156,652.132147653294,150.06159911151352,441.8328855148371,743.222588637918,941.7528432866335,451.8774261995786,383.23536040615807,70.37763581478951,535.68487600149,914.1641426471476,54.58504773836922,476.2353275785456,934.5143000633586,144.53873732601184,269.9200361983863,881.719309976964,100
851.6949838420272,562.6911410457157,457.2380089838117,156.65475708716068,661.2490498187577,841.2403187173028,451.7275383804756,749.0559579816855,939.4594458774027,454.4637411134453,378.95339309683703,435.97683787812525,535.506478955549,435.694758906199,49.80585475731399,442.7228720503773,932.4535771290771,138.52118738700057,265.530824413079,429.06946342577066,100
863.6430780523345,558.8823493167492,451.76920582805826,161.62964567952628,657.4609460248786,341.7329709460908,450.1737308455393,742.7043102908709,942.1763007307724,449.82112102152706,372.1094248600197,450.3464068079589,520.4067881536564,246.70730198305847,58.470924966809896,458.56425046524714,932.6824313677389,136.17600452678286,277.39952846463484,195.93078658569397,100
864.2721258036835,551.3483903718281,442.05559282490043,160.6938120729713,646.5598267972327,312.2802336827003,448.6617540726876,746.5037582792456,943.6513739922559,445.8756004797367,359.70165436855063,28.253633930664268,542.6005238439127,731.6990500182061,48.39131229609623,454.59992477326296,943.8553899254065,138.58583087141426,256.9338998629227,908.9162936686781,100
876.814527031836,547.7290052194606,450.52084451706105,150.24946514068307,661.3187199683083,433.4097790573886,445.7224691370117,757.1416396964171,946.0184833727966,450.8551062990055,372.25592876864204,172.68590114606064,546.7331724533175,105.274067165535,59.10364412523681,469.20915963228146,943.428317326458,138.67364602089,253.02253390318074,694.2585421070407,100
864.4271989664898,553.1740778230454,445.6487719798824,152.04798386546102,659.4139075998793,159.458434003628,442.24629964328295,750.3164925008649,940.2824890843009,445.12019254641274,362.12006757464786,352.16460853375463,544.2746128755831,137.6687746618742,58.31796008099371,457.88639185876565,958.3654798064583,130.38777247477404,244.99251298428197,826.9085736814334,100
882.2694804727071,544.407887606908,452.34661559090756,155.7218365924753,654.0817834362515,718.4513434866707,440.85719518801227,750.2900715843823,944.6721549977935,456.0370611106199,379.99358594551035,667.1823323877425,536.8378200984002,661.4635559137602,53.55651708341144,464.7777603745292,948.8155529211086,142.98551762540038,249.55848312851302,714.8341430937281,100
880.7946820651,555.0677773271061,453.76030026241665,151.58871723220733,653.1558159785495,647.222742610194,448.5812720591608,754.0868267514932,947.6935187175746,460.9221795982296,390.0549341091172,400.62565337312014,535.25881438306,174.6185309882341,60.96775858747691,464.283387627436,955.5905893670364,141.41871135279632,240.20260531336973,515.0737213506532,100
881.753338206034,553.0406521942084,446.13730190442647,155.4341990453639,665.8462701826496,39.78731976572713,447.7514817407131,758.8757124318644,943.161926877763,458.1691259856734,379.5800890796863,607.6128515550612,555.116960082279,662.5058454384028,65.67838695353646,478.3276939441825,943.7745555466396,143.60497603893333,246.96235123745748,318.9265115371771,100
875.7624143042615,552.0420608769753,447.4904137389752,152.9749268668225,651.0337988252091,469.2889069986765,441.3172878735984,756.2575773645216,950.6490034136739,466.8239547882703,380.67142538494664,863.9496875916585,536.6898786939889,606.3802453731302,65.6946874933274,468.48952569706995,949.7623738919294,150.77033814508945,252.20427038617757,266.2759547110505,100
870.3290749747308,549.8115002110305,456.74830987802227,148.52815134244122,659.0604639949894,404.28831400121726,453.7850819251379,753.3858976083675,949.7584007079798,456.25056848471837,362.53706696649175,638.3565408453079,558.5973969086648,743.4913744766428,67.16437368473302,476.7124090161771,954.7614485050597,144.8857870783492,257.3422674350675,564.8075957889257,100
881.693367232895,551.3693682099783,446.22315839057126,143.27352440777898,658.0452831282212,758.0748883387049,445.88007029539943,758.3870866309087,941.0954421157594,445.44032733728017,382.7011563654397,649.8404132267057,558.7763744504264,754.2375593367248,52.84517437688252,465.7548024158693,948.4791025241575,146.10798611736294,242.11274413179166,405.22030458964343,100
867.1611765545996,554.0174687783822,449.1707527597215,141.51483453541945,662.2324435059506,369.48254975465,440.0247125220109,765.007963030264,952.5982259968398,456.332657764763,365.28543353107875,370.0383428994615,539.8466406473432,838.7919932919796,62.54669986329061,473.4047731303668,940.4000336426425,142.35587861690013,240.43348877398478,636.7360764405983,100
865.575475896752,546.2689928338486,452.50274620683007,148.64724217314216,652.1099536096887,337.232056486832,446.89369022847643,754.61768874976,932.1179835474893,452.92128768795357,360.5556673437441,540.6688902217114,548.6250906514138,152.8078075901429,63.313057180640804,459.5957375219136,956.4523086706239,138.91454756729595,248.73875811423767,701.0957409732118,100
891.5010339484486,557.7989079871517,441.6886252909995,150.14332349095397,655.7119510924455,601.9403429813435,451.40687868416614,766.5893149366385,940.1202978935247,452.59475366862745,391.8721430282225,880.2331809831736,572.8711408860945,650.2587769988369,59.37860383108659,475.62534540790637,962.146138995652,141.56363331257606,236.0347148297698,810.3887923234954,100
875.5294040967293,558.4466731953167,448.136897724816,138.7176385345188,661.101261924917,725.3422443119464,443.23233661653893,765.0179761265393,942.322045455382,451.7338076777708,385.99050389994784,981.054025792474,552.300319916324,303.5938098730828,56.936933331295286,470.5083052475629,959.2991908925212,139.83115538919986,236.4193126061953,441.7917992332129,100
859.5267347415181,551.2294308991223,453.8974356599346,135.00730024208275,659.8801877562245,382.1117404193972,448.33825423005885,765.654430337016,947.072721553531,451.9281341975001,370.28499157831453,541.8620260424286,537.3056275960897,613.7176864069359,64.43220030617209,482.16387974914534,947.7345810842804,147.5813126739474,229.88468539204604,82.87166732923446,100
872.1842308807145,557.5080075209871,454.45657323515724,143.50719879173135,660.906522436542,531.5372311620984,445.9405104136125,754.6801483965712,952.2752820403092,442.97344456391784,351.92591562314374,385.73012002480624,540.6927688281487,401.4831275874162,61.06333544943779,447.6353206351227,973.2385627802457,136.05455247385677,259.335693886413,671.7180265512675,100
874.7849725126584,557.8772219656578,451.5039751872285,140.9014373137145,661.8606490468031,332.1106927586128,454.4440679358754,753.1559352870153,946.5385419818509,441.8182689569509,377.2042146797458,272.93512657044647,563.3398955485222,91.53208862345741,57.63877262328968,457.6946913180828,951.874587976425,142.70771437539352,243.8266794976852,436.1641607626001,100
846.9221547915525,567.3243455446304,455.7347800934587,154.46179236114577,659.0033205659681,399.5930293036244,439.3876835128378,756.9772470782054,948.5546953291706,449.2528242666854,384.2760628787052,349.932821662755,552.3344800952024,495.7070666138288,60.399253214574195,447.957537311864,921.6598177134263,141.08398764146176,275.1987199405472,213.99882583249342,100
857.5536789879711,554.003028090218,451.8589602905566,148.5242757123135,655.2825323684814,189.79508990752848,443.2020773955098,748.889107783694,948.0247260967944,448.21001018876694,343.17913041118385,63.46050753582466,551.3787923704375,603.2596527626439,65.90566211070933,433.30725634726434,966.9202865724782,142.90218131731177,267.9073684721208,927.6784457623285,100
859.1414448637051,554.7025431056217,449.6281565645865,140.16108214231974,666.7740265296395,977.4065992542401,454.0579195898492,761.5118374385053,952.4346753122427,449.5892079617909,377.8157292805895,953.0868237605831,529.8471568531546,548.0957472071769,67.31252231358388,481.95064585655405,946.9078467527341,139.03051839638036,237.72072248289962,855.2813609056017,100
877.5400831989508,562.0154365722668,458.73501111800744,138.9221465384732,668.0034403404381,821.1034559631387,451.2505601997124,753.7344242848299,948.5794530923984,450.4766566578755,352.437665543978,622.7921263477144,547.7733717935134,432.42093077545275,65.8427003203974,441.83475032823594,969.249302721694,140.2779893509527,252.74901540721396,187.48866024951084,100
860.9074666344106,547.9885718667346,455.5565720926093,139.6253910798943,659.9773353589843,864.8239209955486,450.3764343625858,754.4627586122125,957.2983916289322,445.37725107179256,335.49443726116334,425.042560158667,557.0300340988326,283.8252253453565,73.84131005795821,426.5546316924483,975.9241861236716,145.44843554478038,272.84823957860567,800.5019218799305,100
877.5100178344829,563.4305799651539,449.3201142662613,149.66493171796523,657.7599922778336,879.5955866981778,453.82355628211843,748.1270661539894,953.6656140023478,446.49632376136304,381.1487852573856,827.3852044944967,569.3207086267068,100.23652682992889,62.44152368932062,450.1361779758682,955.5022509433679,135.98061708749188,246.54212768647238,819.018305008853,100
876.2231656640674,562.0649262177812,456.3269121382489,136.9017060271816,664.7487160468771,691.4590203161318,447.96651853605385,768.2743154617556,958.917882368507,448.8956254213045,362.5207343627058,347.6313051425558,530.9102148114968,639.4865298690638,68.64381229720284,464.7236969542818,949.4362560823457,137.7316121576401,234.51571167412092,248.19570221837705,100
857.4288322375428,551.3826842009034,445.88308463655994,139.86542707384885,663.349610003306,798.6210393992749,448.8078297088632,746.9673583468445,944.158050192553,457.81618796482365,351.92409482456605,461.0117262231238,554.3013357490813,649.0467762514369,68.82135232136703,428.8775480811531,969.0024820291032,139.8115970747658,260.4289149003736,397.1855998937198,100
853.7896614413205,561.0644394821524,450.40684873597206,147.33472105311336,657.3161611699836,32.74071653698773,446.93939685251956,762.6839767507829,939.7963008895442,460.14789967474667,376.8096364773111,865.3212880970632,547.911298845551,945.3192037165735,66.13414886394203,456.96240754975946,928.4819897671772,134.48428126898116,284.96258639302584,88.62377177590686,100
891.6876834780819,558.0735915335903,454.37869340948566,151.89629001713314,659.5143276543781,75.94821568112742,442.7716897089159,769.2887348013206,941.2281583361499,467.09007626581905,384.1075697550312,375.9311420993147,546.277908808875,783.3719935776612,61.056515437093736,473.4133195100299,939.1964665760507,139.44780734664948,258.5576066949641,230.00630719454085,100
878.7561395646885,549.4454564114586,455.6814346327495,149.59960039902313,666.7581682117531,632.2919687448729,446.9899135666495,756.5148284618987,956.1191633974312,442.5219281322001,348.0323585348276,630.3390002833677,528.9812406154535,646.6100887873267,68.54377425764726,453.0614417758993,987.7229438290759,132.87506691528614,255.12213319080462,520.2194770795855,100
878.7370697964443,556.210224957168,457.96522717981145,133.68394956793577,657.4271764346056,405.5369546269013,457.5695454133974,747.9312836294364,948.9197605728342,447.7778115688148,383.9461282760095,498.20308671830406,557.4923762774449,588.9674795056562,63.89898082098192,464.1929681553484,941.4289690520758,146.6006580232826,249.975662679678,787.607009478856,100
866.7392991814792,555.2750394678054,453.7125204655012,142.32461924308177,651.2650069112593,193.84248517466563,461.81927898088196,760.650650107593,947.3675944935535,449.13270321922954,352.7632295507721,778.383716447996,565.3811451911375,868.1027256137432,56.29950101845842,466.59764511821004,943.3212135265642,152.01481064764567,251.35470266128976,118.58096211814085,100
861.181706259511,545.1856064430515,450.77884040199,152.50163064417976,647.287052745716,157.5491056040087,451.74476628272816,763.4775516967012,943.2081258037073,453.8354571072885,366.7226885030272,367.8544276260498,548.5653320195291,980.9722808499909,60.52050893756676,483.169522110466,953.6622628992037,146.04088251586964,273.7222115384027,30.006551281407834,100
864.7626222659435,542.602966091528,448.10155175619474,143.88483581891387,652.0879642563988,451.9722156585463,450.18251679956694,761.4094486579951,956.1580179920719,457.03729027368297,361.6814607595256,214.64986837962718,565.5911892295519,50.3669298997762,63.08910074269565,484.13901333010176,947.1681396068132,150.73036627725344,253.67038558341716,947.0180758359161,100
880.349938580882,558.2507564474774,443.651210043852,151.97713686875304,654.1376822132037,165.63202565112235,453.6132637349157,764.1836732638722,945.4842740425989,448.25888995084875,389.5415372429494,307.67739827008876,564.4986583929058,605.2385229671456,57.832854626191924,474.06344403051486,953.4245364320135,154.3507113218722,248.67151118276502,504.6359696704198,100
878.2144624261341,555.7387406203744,461.9741536098155,147.45496991340246,661.2631139740558,717.7537290644956,455.3626550495386,760.5256762454088,949.8785085985852,450.35132560783416,342.4216351106151,504.67748674270376,526.2586820779336,591.1333946503319,61.13773414702605,451.34848247617884,979.3142716166794,142.91826771421742,245.5406165340139,449.38001954107244,100
884.5275167350501,563.749347098817,459.4687149945577,140.17763698217044,657.1498026720222,28.607153833124954,450.9217631430046,764.9122466800272,951.3564044198138,455.597104236538,347.681113105192,940.1586412125905,533.6045824236995,882.8052078989388,65.46527518433868,437.00684947240336,972.1280568776517,144.13027846031096,257.85881897926276,227.77939958051095,100
867.3612170520463,565.0555566956102,457.82234843579033,152.38334332194324,661.8491960683754,114.67545762062625,447.6227073000105,762.2470006741302,956.0303519852943,445.97545185922445,354.9959694408556,482.07620346526613,536.0707279329029,714.2902406615495,53.583516717113085,449.23105895035303,982.5720178766169,146.1705184907152,271.8369005500679,885.6426915227883,100
873.8587747066298,556.8305729059999,451.8888090715834,134.83281161694242,673.5544473500447,945.8144035220877,454.7959013719931,760.5994955901043,946.1018852246252,454.8070593357296,362.0875295107918,189.94840185609652,540.5405413433385,5.500962042898405,70.85665572811077,446.839770813708,975.9687813054361,145.3597557504173,259.37228654905437,227.49801051688067,100
883.6482405023495,563.6849203199681,463.8365552564798,137.86267813111604,659.8908422601389,639.0336246967439,453.3637969259247,750.3147109692931,955.6995791552897,449.2515592495154,356.22182967694414,61.141160959023885,534.2236307353855,704.8933176379553,55.055842563352684,443.90889229599935,978.0988130792792,131.89848111450002,262.4109333315436,776.5105212720837,100
879.336381976919,564.1100970693618,449.06564984517104,148.90680473082543,667.3926842415741,704.6480714837793,444.589301088742,749.1636998604363,957.758407989756,448.55700405614954,344.807107685013,553.0401186804798,551.5299521887071,283.5046841416126,55.378029875725865,434.88526729195576,985.7844352784488,143.4152222846134,257.4267170535432,93.7014100072957,100
881.7879193084954,566.603385209694,462.4335184131312,143.04549799584188,661.468573304877,548.0677534397976,443.17923028965197,749.7886697733077,948.5974971118392,449.59773692334596,369.7424806802592,808.8105055624405,581.71864234724,508.1188333395008,56.28995339681819,458.89179351375515,959.9605472686812,146.0435676027963,240.067942358801,244.98177034176072,100
889.6793751956819,564.734048844237,455.3729864570931,147.67486470070352,661.7627390650301,576.0536025885948,455.8498443998672,756.8629532126089,959.4296624608583,449.4600107513488,339.3614597558376,793.1500098470872,539.3768700413348,978.9025741444646,60.17016540359212,432.40433100938554,975.5077648169,148.17219666221416,266.38068673444343,601.9904730885559,100
