@relation NewRelation
@attribute Field_000 numeric
@attribute Field_001 numeric
@attribute Field_002 numeric
@attribute Field_003 numeric
@attribute Field_004 numeric
@attribute Field_005 numeric
@attribute Field_006 numeric
@attribute Field_007 numeric
@attribute Field_008 numeric
@attribute Field_009 numeric
@attribute Field_010 numeric
@attribute Field_011 numeric
@attribute Field_012 numeric
@attribute Field_013 numeric
@attribute Field_014 numeric
@attribute Field_015 numeric
@attribute Field_016 numeric
@attribute Field_017 numeric
@attribute Field_018 numeric
@attribute Field_019 numeric
@attribute Field_020 numeric
@attribute Field_021 numeric
@attribute Field_022 numeric
@attribute Field_023 numeric
@attribute Field_024 numeric
@attribute Field_025 numeric
@attribute Field_026 numeric
@attribute Field_027 numeric
@attribute Field_028 numeric
@attribute Field_029 numeric
@attribute Field_030 numeric
@attribute Field_031 numeric
@attribute Field_032 numeric
@attribute Field_033 numeric
@attribute Field_034 numeric
@attribute Field_035 numeric
@attribute Field_036 numeric
@attribute Field_037 numeric
@attribute Field_038 numeric
@attribute Field_039 numeric
@attribute Field_040 numeric
@attribute Field_041 numeric
@attribute Field_042 numeric
@attribute Field_043 numeric
@attribute Field_044 numeric
@attribute Field_045 numeric
@attribute Field_046 numeric
@attribute Field_047 numeric
@attribute Field_048 numeric
@attribute Field_049 numeric
@attribute Field_050 numeric
@attribute Field_051 numeric
@attribute Field_052 numeric
@attribute Field_053 numeric
@attribute Field_054 numeric
@attribute Field_055 numeric
@attribute Field_056 numeric
@attribute Field_057 numeric
@attribute Field_058 numeric
@attribute Field_059 numeric
@attribute Field_060 numeric
@attribute Field_061 numeric
@attribute Field_062 numeric
@attribute Field_063 numeric
@attribute Field_064 numeric
@attribute Field_065 numeric
@attribute Field_066 numeric
@attribute Field_067 numeric
@attribute Field_068 numeric
@attribute Field_069 numeric
@attribute Field_070 numeric
@attribute Field_071 numeric
@attribute Field_072 numeric
@attribute Field_073 numeric
@attribute Field_074 numeric
@attribute Field_075 numeric
@attribute Field_076 numeric
@attribute Field_077 numeric
@attribute Field_078 numeric
@attribute Field_079 numeric
@attribute Field_080 numeric
@attribute Field_081 numeric
@attribute Field_082 numeric
@attribute Field_083 numeric
@attribute Field_084 numeric
@attribute Field_085 numeric
@attribute Field_086 numeric
@attribute Field_087 numeric
@attribute Field_088 numeric
@attribute Field_089 numeric
@attribute Field_090 numeric
@attribute Field_091 numeric
@attribute Field_092 numeric
@attribute Field_093 numeric
@attribute Field_094 numeric
@attribute Field_095 numeric
@attribute Field_096 numeric
@attribute Field_097 numeric
@attribute Field_098 numeric
@attribute Field_099 numeric
@attribute Field_100 numeric
@attribute Field_101 numeric
@attribute Field_102 numeric
@attribute Field_103 numeric
@attribute Field_104 numeric
@attribute Field_105 numeric
@attribute Field_106 numeric
@attribute Field_107 numeric
@attribute Field_108 numeric
@attribute Field_109 numeric
@attribute Field_110 numeric
@attribute Field_111 numeric
@attribute Field_112 numeric
@attribute Field_113 numeric
@attribute Field_114 numeric
@attribute Field_115 numeric
@attribute Field_116 numeric
@attribute Field_117 numeric
@attribute Field_118 numeric
@attribute Field_119 numeric
@attribute Field_120 numeric
@attribute Field_121 numeric
@attribute Field_122 numeric
@attribute Field_123 numeric
@attribute Field_124 numeric
@attribute Field_125 numeric
@attribute Field_126 numeric
@attribute Field_127 numeric
@attribute Field_128 numeric
@attribute Field_129 numeric
@attribute Field_130 numeric
@attribute Field_131 numeric
@attribute Field_132 numeric
@attribute Field_133 numeric
@attribute Field_134 numeric
@attribute Field_135 numeric
@attribute Field_136 numeric
@attribute Field_137 numeric
@attribute Field_138 numeric
@attribute Field_139 numeric
@attribute Field_140 numeric
@attribute Field_141 numeric
@attribute Field_142 numeric
@attribute Field_143 numeric
@attribute Field_144 numeric
@attribute Field_145 numeric
@attribute Field_146 numeric
@attribute Field_147 numeric
@attribute Field_148 numeric
@attribute Field_149 numeric
@attribute Field_150 numeric
@attribute Field_151 numeric
@attribute Field_152 numeric
@attribute Field_153 numeric
@attribute Field_154 numeric
@attribute Field_155 numeric
@attribute Field_156 numeric
@attribute Field_157 numeric
@attribute Field_158 numeric
@attribute Field_159 numeric
@attribute Field_160 numeric
@attribute Field_161 numeric
@attribute Field_162 numeric
@attribute Field_163 numeric
@attribute Field_164 numeric
@attribute Field_165 numeric
@attribute Field_166 numeric
@attribute Field_167 numeric
@attribute Field_168 numeric
@attribute Field_169 numeric
@attribute Field_170 numeric
@attribute Field_171 numeric
@attribute Field_172 numeric
@attribute Field_173 numeric
@attribute Field_174 numeric
@attribute Field_175 numeric
@attribute Field_176 numeric
@attribute Field_177 numeric
@attribute Field_178 numeric
@attribute Field_179 numeric
@attribute Field_180 numeric
@attribute Field_181 numeric
@attribute Field_182 numeric
@attribute Field_183 numeric
@attribute Field_184 numeric
@attribute Field_185 numeric
@attribute Field_186 numeric
@attribute Field_187 numeric
@attribute Field_188 numeric
@attribute Field_189 numeric
@attribute Field_190 numeric
@attribute Field_191 numeric
@attribute Field_192 numeric
@attribute Field_193 numeric
@attribute Field_194 numeric
@attribute Field_195 numeric
@attribute Field_196 numeric
@attribute Field_197 numeric
@attribute Field_198 numeric
@attribute Field_199 numeric
@attribute Field_200 numeric
@attribute Field_201 numeric
@attribute Field_202 numeric
@attribute Field_203 numeric
@attribute Field_204 numeric
@attribute Field_205 numeric
@attribute Field_206 numeric
@attribute Field_207 numeric
@attribute Field_208 numeric
@attribute Field_209 numeric
@attribute Field_210 numeric
@attribute Field_211 numeric
@attribute Field_212 numeric
@attribute Field_213 numeric
@attribute Field_214 numeric
@attribute Field_215 numeric
@attribute Field_216 numeric
@attribute Field_217 numeric
@attribute Field_218 numeric
@attribute Field_219 numeric
@attribute Field_220 numeric
@attribute Field_221 numeric
@attribute Field_222 numeric
@attribute Field_223 numeric
@attribute Field_224 numeric
@attribute Field_225 numeric
@attribute Field_226 numeric
@attribute Field_227 numeric
@attribute Field_228 numeric
@attribute Field_229 numeric
@attribute Field_230 numeric
@attribute Field_231 numeric
@attribute Field_232 numeric
@attribute Field_233 numeric
@attribute Field_234 numeric
@attribute Field_235 numeric
@attribute Field_236 numeric
@attribute Field_237 numeric
@attribute Field_238 numeric
@attribute Field_239 numeric
@attribute Field_240 numeric
@attribute Field_241 numeric
@attribute Field_242 numeric
@attribute Field_243 numeric
@attribute Field_244 numeric
@attribute Field_245 numeric
@attribute Field_246 numeric
@attribute Field_247 numeric
@attribute Field_248 numeric
@attribute Field_249 numeric
@attribute Field_250 numeric
@attribute Field_251 numeric
@attribute Field_252 numeric
@attribute Field_253 numeric
@attribute Field_254 numeric
@attribute Field_255 numeric
@attribute Field_256 numeric
@attribute Field_257 numeric
@attribute Field_258 numeric
@attribute Field_259 numeric
@attribute Field_260 numeric
@attribute Field_261 numeric
@attribute Field_262 numeric
@attribute Field_263 numeric
@attribute Field_264 numeric
@attribute Field_265 numeric
@attribute Field_266 numeric
@attribute Field_267 numeric
@attribute Field_268 numeric
@attribute Field_269 numeric
@attribute Field_270 numeric
@attribute Field_271 numeric
@attribute Field_272 numeric
@attribute Field_273 numeric
@attribute Field_274 numeric
@attribute Field_275 numeric
@attribute Field_276 numeric
@attribute Field_277 numeric
@attribute Field_278 numeric
@attribute Field_279 numeric
@attribute Field_280 numeric
@attribute Field_281 numeric
@attribute Field_282 numeric
@attribute Field_283 numeric
@attribute Field_284 numeric
@attribute Field_285 numeric
@attribute Field_286 numeric
@attribute Field_287 numeric
@attribute Field_288 numeric
@attribute Field_289 numeric
@attribute Field_290 numeric
@attribute Field_291 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}
@data
98,236,531,673,607,647,2,9,3,6,8,5,225,517,652,624,628,994,7,22,28,13,10,19,305,481,667,663,1009,727,38,28,18,11,20,10,287,567,651,742,824,900,26,34,30,8,16,13,248,556,631,796,926,748,39,34,18,9,17,12,248,540,506,814,1051,728,38,28,5,13,16,8,246,518,751,579,699,1062,13,30,28,10,16,16,276,344,682,500,709,916,10,30,23,17,15,14,357,435,829,610,745,994,20,7,24,12,10,9,355,409,477,886,976,723,30,24,14,7,7,8,290,352,435,753,894,751,29,29,2,13,13,14,260,286,562,698,665,757,11,8,15,14,9,9,238,292,586,698,733,707,9,6,15,11,10,16,294,406,654,644,741,1000,18,23,17,9,20,11,302,418,561,709,961,776,21,25,12,12,19,10,360,328,607,984,1186,599,29,7,14,6,9,9,362,314,924,733,601,1216,4,8,20,10,9,5,251,421,474,536,628,632,18,36,8,15,12,13,0.06588172,0.19731169,0.10382563,0.27036171,0.61607757,0.03585575,0.42457192,0.08970119,0.36777339,0.03706516,0.07594178,0.26390595,0.07790313,0.37200891,0.21948485,0.05532691,0.10890633,0.12775213,0.11405136,0.01858087,0.10262683,0.17268198,0.0730332,0.14034402,0.13219889,0.07601515,0.03251728,0.12883987,0.12052641,0.01661452,0.10258255,0.1016249,0.06572986,0.03521252,0.07900934,0.08377258,0.02149083,0.12162476,0.06751158,0.03377662,0.09901323,0.05940796,0.08128562,0.05234493,0.09049952,0.06358191,0.08110426,0.05910051,0.09723591,0.04157573,0.08351457,0.04237858,0.08296503,0.07717036,0.11673209,0.03476068,0.10948465,0.01642286,0.09935212,0.11376267,0.08637167,0.16765423,0.10628061,0.12578294,0.09067476,0.08125645,0.12344814,0.11337439,0.07434256,0.2816663,0.0677952,0.34418162,0.03896293,0.39436572,0.04997072,0.34487096,0
121,193,607,611,585,665,7,9,2,4,3,7,214,514,690,548,630,1006,2,18,31,15,5,15,260,344,655,605,993,743,29,32,25,11,17,6,308,412,719,700,784,902,31,32,37,8,13,15,259,429,699,758,900,762,34,30,25,9,14,10,207,445,558,784,1037,750,29,30,12,11,17,6,199,427,791,553,707,1074,10,26,31,12,17,10,253,345,726,440,731,932,7,26,30,19,10,12,326,452,795,540,701,1012,17,7,31,12,11,11,320,264,563,796,972,741,29,20,17,7,8,6,243,255,467,711,896,769,26,25,9,9,12,10,265,171,648,626,687,777,16,10,12,10,4,5,279,269,634,628,737,727,14,10,12,13,5,14,253,317,680,614,755,1016,15,19,24,11,17,11,255,321,617,651,979,792,20,29,19,8,18,8,351,249,687,922,1194,617,26,11,11,4,10,7,347,439,950,675,577,1222,13,6,27,10,10,3,224,354,520,458,570,634,15,32,11,13,15,11,0.04914215,0.17597068,0.10551464,0.22709455,0.59927961,0.04121696,0.43107763,0.09680073,0.32673867,0.05966093,0.01718438,0.31469027,0.01290434,0.4531075,0.20936369,0.0533312,0.08133398,0.00754989,0.2348765,0.04348951,0.01963094,0.16112937,0.04432878,0.13267879,0.13041485,0.07386554,0.05119187,0.03022129,0.14486721,0.02389516,0.01678971,0.12118056,0.07688914,0.0548958,0.08867811,0.09720924,0.01954784,0.02690619,0.11328339,0.02042287,0.02492869,0.08536438,0.09084388,0.01198566,0.09217746,0.07263301,0.00689356,0.04041279,0.00737273,0.03024146,0.08827668,0.10180785,0.08293348,0.11741854,0.03004015,0.12295817,0.0157208,0.08124583,0.05488358,0.08780258,0.06922771,0.14588863,0.01996358,0.19320029,0.01413473,0.13155238,0.04530983,0.06933745,0.04538622,0.25426447,0.04544675,0.33565945,0.02171864,0.44527711,0.08397801,0.35409193,0
115,141,590,605,557,627,12,6,3,3,5,4,196,404,611,560,594,986,7,21,28,14,7,12,278,406,670,579,991,703,24,29,18,12,19,9,378,468,668,654,786,900,32,31,28,11,17,12,299,495,650,698,902,726,29,31,18,12,16,5,249,389,465,722,1033,704,24,27,5,12,17,11,229,377,700,483,675,1056,5,29,28,11,17,15,247,309,645,444,697,898,6,29,21,18,12,7,312,328,774,550,689,980,14,6,20,11,9,6,360,294,568,790,956,733,24,23,18,6,8,11,235,259,436,665,876,719,21,28,0,10,14,13,253,111,653,638,653,737,17,9,15,11,6,10,297,185,637,638,715,677,9,9,15,12,7,9,271,335,591,542,719,970,10,22,13,12,19,6,293,335,536,613,943,746,15,26,10,9,20,13,415,323,672,896,1168,595,21,8,14,3,10,12,343,365,877,663,547,1192,18,7,20,13,10,2,196,348,535,498,572,656,20,35,16,14,13,6,0.03417192,0.22764888,0.10876636,0.12769655,0.61249401,0.05655422,0.47063942,0.041903,0.32426675,0.04456917,0.01701238,0.28337204,0.06046838,0.36442046,0.21801227,0.06579934,0.10079751,0.04114768,0.10311241,0.02962334,0.01667626,0.12633054,0.07354646,0.16057382,0.12732293,0.07671452,0.05856481,0.00776378,0.07460746,0.02153262,0.01611436,0.0902226,0.07797869,0.09026291,0.07213971,0.09145005,0.03529453,0.0205283,0.06314673,0.02222222,0.03847526,0.05401425,0.09450837,0.03947392,0.0861379,0.07133398,0.01431514,0.05948136,0.01913305,0.04647604,0.05455551,0.10162405,0.07364814,0.11788467,0.03252854,0.05799682,0.02946103,0.04095022,0.03373182,0.218233,0.051349,0.19085374,0.04510594,0.18089624,0.03668751,0.08246655,0.01985846,0.21884189,0.04108653,0.36046421,0.04715371,0.37740825,0.05209868,0.44502912,0.07123367,0.2614646,0
90,122,627,692,607,642,0,6,4,5,3,5,201,445,664,629,626,945,5,21,27,16,7,9,273,397,703,662,987,710,36,29,21,8,15,10,331,459,731,765,818,865,24,29,33,9,15,11,256,510,707,801,900,735,37,29,21,10,16,2,246,438,534,817,1031,721,36,27,8,10,15,8,248,390,767,586,693,1013,11,29,27,13,15,12,278,312,702,509,707,873,8,29,26,18,8,8,361,347,831,631,739,955,18,8,27,13,13,9,369,293,589,879,962,718,28,23,13,8,10,8,268,364,449,754,884,728,27,28,5,8,10,14,232,172,674,713,663,722,9,9,14,9,2,9,244,202,682,719,725,684,7,9,16,14,5,6,260,412,640,651,735,973,16,22,20,12,15,3,276,416,601,712,959,757,19,26,15,7,16,10,380,354,711,987,1180,606,27,8,15,5,12,9,400,358,918,756,603,1171,6,7,23,11,12,5,263,419,576,549,628,621,16,35,7,12,15,9,0.06233634,0.21797938,0.08024345,0.28959182,0.54631599,0.0457789,0.4255446,0.02284102,0.33145396,0.11905231,0.03693055,0.22498059,0.0514254,0.33796612,0.15209755,0.07268023,0.16230301,0.03758477,0.05667001,0.10691792,0.01770276,0.10961374,0.07627465,0.18744512,0.05998692,0.08758971,0.11305006,0.03881685,0.03427041,0.08854398,0.01806257,0.04329489,0.08982039,0.15600512,0.01852276,0.08856824,0.09272069,0.03621999,0.04510843,0.06655702,0.03587386,0.01338714,0.08720992,0.08777712,0.07671094,0.01926819,0.07973616,0.04440834,0.04339944,0.06994006,0.06721232,0.01051252,0.08515453,0.01705523,0.07365318,0.08327879,0.0208773,0.10568698,0.08194066,0.02321971,0.0890212,0.06211609,0.06934071,0.15856417,0.01168655,0.16580605,0.08399517,0.08547904,0.08765751,0.15187976,0.07595038,0.29346151,0.0226749,0.40829055,0.06301013,0.40137574,0
157,167,681,666,587,666,8,6,1,4,5,5,212,386,740,613,614,997,5,21,30,11,7,17,248,390,703,662,949,744,28,29,20,13,19,10,244,468,797,743,750,909,32,29,32,10,15,11,231,479,773,799,850,769,37,29,20,11,14,10,189,361,620,819,995,743,32,27,7,15,17,8,183,365,851,588,701,1063,13,29,30,8,17,14,257,237,782,501,715,925,10,31,25,15,12,12,314,334,847,599,689,1003,16,8,26,8,9,13,310,300,633,871,936,752,32,23,16,7,8,8,257,233,511,756,860,758,29,30,4,11,14,14,265,137,718,687,671,768,17,9,13,10,6,9,253,169,704,687,707,714,15,9,13,9,7,14,251,283,714,651,733,1009,18,22,19,7,19,9,239,281,685,716,955,785,23,26,14,8,20,6,337,303,763,989,1156,628,29,8,12,2,10,7,321,337,988,726,577,1225,14,7,22,8,10,5,276,342,594,525,568,653,16,35,10,15,13,13,0.06196956,0.1983584,0.11123936,0.25346021,0.60845534,0.02363068,0.41524633,0.09186634,0.30931014,0.04914196,0.09329785,0.31555225,0.05180936,0.38867408,0.21683456,0.04958129,0.04923336,0.15687325,0.20655371,0.04225524,0.10294857,0.15543924,0.05988541,0.05897485,0.12553763,0.05814712,0.06762978,0.1483368,0.11709698,0.05025857,0.07890939,0.08528853,0.08222084,0.08017575,0.07686287,0.05843574,0.06246014,0.08232977,0.0459874,0.04348229,0.06776753,0.06013164,0.06349254,0.07077744,0.04783511,0.07273317,0.07632727,0.05671962,0.06638502,0.05233161,0.04953541,0.08441428,0.04812463,0.1074421,0.05739412,0.10858039,0.07284424,0.07120772,0.05261301,0.10277661,0.0262826,0.16288408,0.06354557,0.18555242,0.05064647,0.13066141,0.02100367,0.1069604,0.03228278,0.24856505,0.0156737,0.38627572,0.03948148,0.43470075,0.06921835,0.40540344,0
128,224,799,690,653,620,16,22,8,9,2,6,145,363,774,591,682,943,15,23,27,12,6,8,247,335,689,718,915,690,20,25,31,12,12,9,379,365,919,789,680,841,30,27,43,9,12,12,300,372,887,843,780,711,35,23,31,8,11,5,256,300,716,889,969,721,36,25,18,10,12,11,216,332,913,654,787,1009,23,23,37,13,12,11,222,326,842,553,823,871,20,25,36,14,5,5,291,325,813,625,691,949,8,20,37,9,12,6,383,269,749,829,952,678,42,11,13,8,9,11,270,190,609,820,872,744,39,24,15,12,7,13,302,158,834,675,775,718,25,19,16,11,1,10,258,220,782,713,749,700,23,21,16,10,4,5,236,234,696,709,805,973,28,24,30,12,12,6,262,220,781,752,1015,753,33,24,25,7,13,13,430,334,885,1029,1108,576,39,20,15,9,11,12,346,450,982,762,625,1171,22,19,33,9,11,6,209,257,692,529,562,573,24,17,7,10,14,6,0.06815893,0.35129261,0.12899341,0.05783823,0.51556825,0.0369703,0.50101528,0.08818921,0.33359468,0.17747613,0.0647591,0.22043894,0.05761224,0.35089199,0.16982734,0.04428342,0.17574473,0.08042472,0.05545361,0.13723897,0.10116423,0.13040399,0.0683033,0.14023488,0.10743358,0.06642747,0.0914768,0.08974098,0.07142152,0.09653755,0.09238363,0.07893038,0.0688443,0.06620246,0.07062131,0.09031893,0.04300083,0.08059791,0.06331217,0.08020984,0.07343326,0.03140484,0.06934867,0.02253228,0.12102819,0.0554343,0.07273945,0.04461623,0.07836432,0.08933427,0.10628682,0.02998556,0.09306785,0.06960034,0.06385186,0.09064673,0.09832089,0.12604533,0.07647531,0.04894163,0.06799833,0.12285731,0.07394119,0.1326926,0.08406109,0.20622422,0.0664184,0.04272158,0.04392257,0.18289342,0.02805878,0.278417,0.02757505,0.45664441,0.05972553,0.35354483,0
185,259,575,615,609,673,2,8,5,7,4,6,278,468,648,606,638,1006,7,21,36,12,6,20,288,508,665,611,1033,751,38,29,26,14,18,11,236,630,697,686,834,940,26,33,36,9,14,10,239,631,669,732,944,778,39,33,26,10,13,13,245,489,520,764,1075,746,38,27,13,14,18,9,245,489,753,525,715,1078,13,29,36,9,18,13,321,321,682,456,731,922,10,31,29,16,11,15,396,408,817,548,749,1008,20,8,28,9,8,12,384,426,525,842,998,779,30,23,22,8,9,9,317,345,423,699,918,743,29,30,8,14,13,15,225,307,610,652,689,755,11,7,9,15,5,10,229,293,628,636,757,711,9,7,11,10,6,17,311,373,640,584,759,994,18,22,21,8,18,12,299,371,585,669,983,784,21,26,18,13,19,7,343,339,661,940,1210,647,29,8,6,7,11,8,345,267,910,677,605,1216,4,7,28,7,11,6,358,408,518,502,632,698,18,35,16,14,14,14,0.08870737,0.10309353,0.11079142,0.39680879,0.59364942,0.05941576,0.37146374,0.10934063,0.40126869,0.08366929,0.11693792,0.21979131,0.12207071,0.2889876,0.21158101,0.06408985,0.11149297,0.15965061,0.04915376,0.09763406,0.10761262,0.13569782,0.06888911,0.08927802,0.12927586,0.05747365,0.09713349,0.12733952,0.05348072,0.11615154,0.09677651,0.07405852,0.03758998,0.07927985,0.08283934,0.04984378,0.10502296,0.10471323,0.01192258,0.12790351,0.07462139,0.03173011,0.03713339,0.08955788,0.04909994,0.07024119,0.05792817,0.11133376,0.06874162,0.11607747,0.07582418,0.07208099,0.06682776,0.11022933,0.07182039,0.06265518,0.08116518,0.09932677,0.11177698,0.12254549,0.08641717,0.16368028,0.06235026,0.14998443,0.08020488,0.11893823,0.1185696,0.07661738,0.09215632,0.24257356,0.05332711,0.33277895,0.03340171,0.37815674,0.07351001,0.40443893,0
133,173,591,665,594,651,1,7,3,5,9,5,260,360,700,620,637,986,4,20,28,12,11,19,322,454,683,679,984,729,35,30,22,16,21,12,240,504,707,738,771,880,25,30,34,9,17,11,209,485,689,788,883,750,36,30,22,12,16,12,235,381,562,826,1030,734,35,28,9,14,15,10,247,385,803,587,710,1052,10,28,28,9,15,16,291,239,738,524,736,914,7,30,27,16,14,14,310,296,851,602,706,992,19,9,28,9,9,11,314,348,541,884,979,721,27,22,14,6,8,10,275,263,473,767,895,757,26,29,6,12,14,16,259,189,626,692,688,757,10,10,15,13,10,11,297,177,638,690,732,713,8,10,15,10,11,16,309,263,690,642,762,1006,15,21,21,10,21,11,303,267,617,733,986,782,18,27,16,11,20,8,317,363,667,1008,1197,603,26,9,14,5,8,9,317,301,958,729,590,1214,7,8,24,11,8,5,278,296,520,522,567,612,15,34,8,16,11,13,0.07497266,0.15033489,0.1079316,0.19478635,0.64799267,0.07183147,0.43121197,0.10097024,0.31731614,0.0282975,0.08337227,0.32732212,0.1386637,0.36989524,0.19877768,0.08536938,0.02365969,0.12493607,0.16180615,0.03963882,0.0829926,0.14181308,0.10531662,0.0890432,0.08433177,0.07430088,0.02019712,0.05905108,0.10386943,0.03587044,0.0816067,0.07399086,0.09102479,0.03223813,0.04870989,0.05504403,0.05465979,0.09326884,0.06529216,0.02709693,0.07822736,0.02644078,0.05829074,0.06777001,0.04090698,0.04990956,0.09473052,0.07179461,0.09267027,0.04093508,0.05774189,0.01951238,0.06443459,0.04517646,0.13325404,0.06885241,0.10734236,0.03817155,0.13056528,0.12953003,0.0982099,0.14467383,0.09561303,0.07462599,0.10947869,0.02021271,0.11639298,0.24576891,0.10266523,0.3477453,0.02683332,0.4013738,0.03510731,0.41610144,0.1276809,0.30157086,0
206,332,561,588,635,693,3,9,8,7,7,9,269,519,664,577,656,1056,8,22,39,12,9,19,325,523,673,586,1029,773,39,28,29,12,19,12,231,655,687,671,836,966,27,32,39,9,17,11,246,650,661,717,930,794,40,34,29,8,16,16,280,522,538,747,1073,772,39,28,16,14,15,10,258,532,773,508,735,1126,14,30,39,9,17,16,316,374,700,431,751,968,11,32,32,16,14,18,383,473,827,513,761,1050,21,9,31,9,11,11,419,453,505,831,1008,779,31,24,25,10,6,10,330,372,437,678,928,791,30,31,11,14,12,16,284,382,590,619,703,807,12,8,12,15,8,11,228,382,612,601,767,747,10,6,14,10,9,20,322,394,662,573,779,1044,19,23,24,8,19,15,356,396,595,652,1003,820,22,25,21,13,18,8,374,306,643,919,1224,645,30,7,3,7,8,9,328,330,926,650,627,1266,3,8,31,7,8,9,371,429,490,473,624,698,19,36,19,14,11,17,0.05910842,0.1008919,0.07458095,0.3855807,0.57932673,0.0321586,0.38940193,0.08291118,0.35948351,0.09641373,0.08792342,0.25865636,0.05445415,0.3019761,0.21662642,0.00525863,0.11415783,0.10127106,0.07395176,0.06082664,0.13034598,0.16379613,0.02668255,0.13610026,0.12928538,0.02436269,0.04581986,0.14591401,0.1028782,0.02750589,0.1470745,0.10464107,0.00962257,0.02321073,0.06162552,0.05265772,0.03424899,0.16416007,0.05269876,0.02346176,0.13008321,0.03515927,0.0570213,0.0253571,0.03832658,0.01321067,0.09887346,0.0441201,0.12284678,0.02066112,0.00646388,0.01327528,0.01529354,0.06705288,0.08997811,0.08596331,0.10919856,0.06724877,0.02259305,0.02821901,0.00807522,0.11692584,0.0551028,0.15566733,0.07761686,0.13709769,0.01917688,0.07171269,0.00242352,0.19791854,0.01299651,0.32427275,0.02115852,0.38430392,0.08106681,0.44568487,0
183,177,583,606,627,676,1,8,1,4,3,4,258,458,602,573,648,999,4,19,30,15,5,18,290,424,651,552,1011,750,35,31,20,9,13,11,232,520,685,673,842,951,25,33,30,6,13,10,247,549,663,711,944,769,36,33,20,7,12,11,225,427,488,719,1053,729,35,29,7,11,13,9,237,415,715,488,711,1059,10,27,30,12,13,13,297,305,648,393,711,911,7,27,23,19,6,13,342,364,781,545,765,1005,19,4,22,12,9,12,384,318,545,787,984,786,27,21,16,7,8,9,299,303,391,650,896,716,26,26,2,11,8,15,261,185,630,639,667,740,10,7,13,12,4,10,265,211,638,633,735,684,8,9,13,13,5,15,293,363,574,559,757,967,15,20,15,11,13,10,307,371,559,584,963,771,18,28,12,10,14,7,373,273,665,861,1188,642,26,10,12,4,8,8,319,317,856,670,621,1199,7,5,22,10,8,4,310,428,538,509,648,709,15,33,14,13,15,12,0.01223665,0.09051552,0.08421299,0.35019347,0.48118821,0.02389773,0.40872243,0.0620802,0.43682493,0.18230127,0.00698615,0.13744504,0.03327992,0.31464425,0.08263562,0.01994554,0.17306721,0.00304677,0.07835999,0.14697418,0.00243648,0.01147337,0.03497552,0.14077748,0.02785252,0.01866496,0.10800742,0.00777179,0.08695371,0.09634654,0.00282674,0.08101417,0.01785237,0.06374154,0.07622194,0.00739835,0.06564085,0.01820838,0.11091156,0.04074509,0.01481186,0.09462323,0.01829286,0.0259911,0.01643127,0.09053223,0.0419013,0.04551589,0.02218587,0.07059201,0.02345304,0.11721032,0.01796906,0.0733138,0.02116023,0.0773058,0.0131093,0.11807802,0.03457897,0.09632007,0.02505161,0.01217861,0.03822664,0.14667006,0.01728423,0.19681556,0.05110793,0.10371516,0.03189425,0.12322217,0.05120327,0.2452009,0.00875482,0.42168991,0.01706748,0.37009931,0
